[2026-09-12T18:37:58.472Z] GET https://fonts.gstatic.com/s/fredoka/v17/X7n64b87HvSqjb_WIi2yDCRwoQ_k7367_DWu89XgHPyh.woff2 → 200 (?ms, ?B)
[2026-09-12T18:37:58.472Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (?ms, ?B)
[2026-09-12T18:38:11.628Z] GET http://localhost:5173/ → 200 (5ms, 77642B)
[2026-09-12T18:38:11.640Z] GET https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Hind+Siliguri:wght@500;600;700&family=Nunito:wght@400;500;600;700;800;900&display=swap → 200 (?ms, 20136B)
[2026-09-12T18:38:11.640Z] GET http://localhost:5173/styles.css → 200 (?ms, 4566B)
[2026-09-12T18:38:11.641Z] GET http://localhost:5173/assets/cv.jpeg → 200 (?ms, 26092B)
[2026-09-12T18:38:11.641Z] GET http://localhost:5173/app.js → 200 (?ms, 4949B)
[2026-09-12T18:38:11.662Z] GET http://localhost:5173/assets/screens/genfit-nutrition.png → 200 (?ms, 307492B)
[2026-09-12T18:38:11.662Z] GET http://localhost:5173/assets/screens/genfit-workout.png → 200 (?ms, 388854B)
[2026-09-12T18:38:11.662Z] GET http://localhost:5173/assets/screens/genfit-confirm-food.png → 200 (1ms, 1075811B)
[2026-09-12T18:38:11.663Z] GET https://fonts.gstatic.com/s/fredoka/v17/X7n64b87HvSqjb_WIi2yDCRwoQ_k7367_DWu89XgHPyh.woff2 → 200 (?ms, ?B)
[2026-09-12T18:38:11.663Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0vQVKwOs1tqhwg.woff2 → 200 (?ms, ?B)
[2026-09-12T18:38:11.663Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0uYVKwOs1to.woff2 → 200 (?ms, ?B)
[2026-09-12T18:38:11.663Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (1ms, ?B)
[2026-09-12T18:38:12.789Z] GET http://localhost:5173/mobile/ → 200 (1ms, 103339B)
[2026-09-12T18:38:12.795Z] GET https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Hind+Siliguri:wght@500;600;700&family=Nunito:wght@400;500;600;700;800;900&display=swap → 200 (?ms, 20136B)
[2026-09-12T18:38:12.795Z] GET http://localhost:5173/styles.css → 200 (?ms, 4566B)
[2026-09-12T18:38:12.796Z] GET http://localhost:5173/assets/cv.jpeg → 200 (?ms, 26092B)
[2026-09-12T18:38:12.796Z] GET http://localhost:5173/app.js → 200 (?ms, 4949B)
[2026-09-12T18:38:12.822Z] GET http://localhost:5173/assets/screens/genfit-nutrition.png → 200 (?ms, 307492B)
[2026-09-12T18:38:12.822Z] GET http://localhost:5173/assets/screens/genfit-workout.png → 200 (?ms, 388854B)
[2026-09-12T18:38:12.823Z] GET http://localhost:5173/assets/screens/genfit-confirm-food.png → 200 (?ms, 1075811B)
[2026-09-12T18:38:12.823Z] GET https://fonts.gstatic.com/s/fredoka/v17/X7n64b87HvSqjb_WIi2yDCRwoQ_k7367_DWu89XgHPyh.woff2 → 200 (?ms, ?B)
[2026-09-12T18:38:12.823Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0vQVKwOs1tqhwg.woff2 → 200 (?ms, ?B)
[2026-09-12T18:38:12.823Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0uYVKwOs1to.woff2 → 200 (1ms, ?B)
[2026-09-12T18:38:12.824Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (?ms, ?B)
[2026-09-12T18:38:12.824Z] GET http://localhost:5173/assets/foodier.jpg → 200 (2ms, 853566B)
[2026-09-12T18:38:12.826Z] GET http://localhost:5173/assets/cfl.jpg → 200 (?ms, 944312B)
[2026-09-12T18:38:12.826Z] GET http://localhost:5173/assets/teleport.jpg → 200 (?ms, 965906B)
[2026-09-12T18:38:13.986Z] GET http://localhost:5173/genfit/ → 200 (3ms, 45966B)
[2026-09-12T18:38:13.994Z] GET https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Nunito:wght@400;500;600;700;800;900&display=swap → 200 (?ms, 16182B)
[2026-09-12T18:38:13.994Z] GET http://localhost:5173/styles.css → 200 (?ms, 4566B)
[2026-09-12T18:38:13.994Z] GET http://localhost:5173/app.js → 200 (1ms, 4949B)
[2026-09-12T18:38:14.012Z] GET http://localhost:5173/assets/screens/genfit-nutrition.png → 200 (?ms, 307492B)
[2026-09-12T18:38:14.013Z] GET http://localhost:5173/assets/screens/genfit-workout.png → 200 (?ms, 388854B)
[2026-09-12T18:38:14.013Z] GET http://localhost:5173/assets/screens/genfit-confirm-food.png → 200 (?ms, 1075811B)
[2026-09-12T18:38:14.013Z] GET http://localhost:5173/assets/screens/genfit-weekly.png → 200 (1ms, 325625B)
[2026-09-12T18:38:14.014Z] GET https://fonts.gstatic.com/s/fredoka/v17/X7n64b87HvSqjb_WIi2yDCRwoQ_k7367_DWu89XgHPyh.woff2 → 200 (?ms, ?B)
[2026-09-12T18:38:14.014Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (?ms, ?B)
[2026-09-12T18:47:00.715Z] GET http://localhost:5173/ → 200 (24ms, ?B)
[2026-09-12T18:47:00.760Z] GET https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Hind+Siliguri:wght@500;600;700&family=Nunito:wght@400;500;600;700;800;900&display=swap → 200 (?ms, ?B)
[2026-09-12T18:47:00.761Z] GET http://localhost:5173/styles.css → 200 (?ms, ?B)
[2026-09-12T18:47:00.761Z] GET http://localhost:5173/assets/cv.jpeg → 200 (1ms, ?B)
[2026-09-12T18:47:00.761Z] GET http://localhost:5173/app.js → 200 (?ms, ?B)
[2026-09-12T18:47:00.771Z] GET http://localhost:5173/assets/screens/genfit-nutrition.png → 200 (?ms, ?B)
[2026-09-12T18:47:00.771Z] GET http://localhost:5173/assets/screens/genfit-workout.png → 200 (?ms, ?B)
